课程,学分,任课教师,职称,上课班级,上课班级名称,人数/班级,上课群组名称,行政班级,周次,节次,上课地点,承担单位
细胞生物学C,2,"刘慕君,项荣,张树冰,夏赞贤,周叶方,李杰,言惠文","副教授,教授,教授,教授,副教授,副教授,副教授",015132,,81/3,,"医学四年类1806,医学四年类1804,医学四年类1805",9-16,40506,C座209,细胞生物学系
细胞生物学C,2,"言惠文,刘慕君,李杰,项荣,周叶方,张树冰,夏赞贤","副教授,副教授,副教授,教授,副教授,教授,教授",015138,,72/3,,"医学四年类1813,医学五年类1801,医学五年类1802",9-16,10102,C座209,细胞生物学系
细胞生物学C,2,"言惠文,刘慕君,李杰,项荣,周叶方,张树冰,夏赞贤","副教授,副教授,副教授,教授,副教授,教授,教授",015138,,72/3,,"医学四年类1813,医学五年类1801,医学五年类1802",9-16,30304,C座105,细胞生物学系
细胞生物学C,2,"李杰,夏赞贤,刘慕君,周叶方,项荣,言惠文,张树冰","副教授,教授,副教授,副教授,教授,副教授,教授",015140,,69/3,,"医学四年类1811,医学四年类1812,医学四年类1810",9-16,30910,C座206,细胞生物学系
细胞生物学C,2,"李杰,夏赞贤,刘慕君,周叶方,项荣,言惠文,张树冰","副教授,教授,副教授,副教授,教授,副教授,教授",015140,,69/3,,"医学四年类1811,医学四年类1812,医学四年类1810",9-16,10506,C座207,细胞生物学系
形势与政策,2,唐媛,副研究员,015147,,147/6,,"医学四年类1802,医学四年类1803,医学四年类1806,医学四年类1804,医学四年类1801,医学四年类1805","8,14",30506,B座314,形势与政策教研中心
形势与政策,2,袁世平,讲师（高校）,015154,,173/7,,"医学四年类1812,医学四年类1808,医学四年类1807,医学四年类1811,医学四年类1813,医学四年类1809,医学四年类1810","8,14",10304,B座113,形势与政策教研中心
大学英语（二）,3,李曼青,讲师（高校）,015156,,21/1,,医学四年类1802,1-16,10304,外语网络楼446,大学外语部
大学英语（二）,3,李曼青,讲师（高校）,015156,,21/1,,医学四年类1802,1-16,30102,A座321,大学外语部
大学英语（二）,3,陈立娟,讲师（高校）,015157,,28/1,,医学四年类1803,1-16,30304,外语网络楼223,大学外语部
