课程,学分,任课教师,职称,上课班级,上课班级名称,人数/班级,上课群组名称,行政班级,周次,节次,上课地点,承担单位
材料科学基础A（一）,3,汤中华,副教授,015475,,28/1,,粉体1703,9-16,10910,D座104,粉体材料科学与工程
材料腐蚀与防护B,1.5,伍秋美,副教授,015477,,0/3,,"粉体1601,粉体1602,粉体1603",1-8,40506,科教北308,粉体材料科学与工程
材料腐蚀与防护B,1.5,伍秋美,副教授,015477,,0/3,,"粉体1601,粉体1602,粉体1603",1-8,20304,科教北308,粉体材料科学与工程
科技英语与写作,1.5,刘绍军,研究员,015479,,0/3,,"粉体1602,粉体1603,粉体1601",9-16,10102,科教北304,粉体材料科学与工程
科技英语与写作,1.5,刘绍军,研究员,015479,,0/3,,"粉体1602,粉体1603,粉体1601",9-16,30304,科教北305,粉体材料科学与工程
表面科学与工程,2,高海燕,研究员,015486,,0/3,,"粉体1602,粉体1603,粉体1601",1-8,40304,科教北303,粉体材料科学与工程
表面科学与工程,2,高海燕,研究员,015486,,0/3,,"粉体1602,粉体1603,粉体1601",1-8,10708,科教北303,粉体材料科学与工程
粉末冶金原理（一）,1.5,刘文胜,教授,015488,,27/1,,粉体1602,9-14,40304,科教北304,粉体材料科学与工程
粉末冶金原理（一）,1.5,刘文胜,教授,015488,,27/1,,粉体1602,9-14,10304,科教北304,粉体材料科学与工程
粉末冶金原理（一）,1.5,阮建明,教授,015489,,29/1,,粉体1601,9-14,40304,科教北305,粉体材料科学与工程
粉末冶金原理（一）,1.5,阮建明,教授,015489,,29/1,,粉体1601,9-14,10304,科教北305,粉体材料科学与工程
能源革命与环境保护,2,黄庆,讲师（高校）,015491,,0/0,,,1-16,40910,C座303,能源科学与工程学院
药与健康,2,李春华,副教授,015493,,0/0,,,1-16,20910,C座310,化学化工学院
感恩教育与生态环境,2,张鹏飞,副教授,015494,,0/0,,,1-16,20910,B座113,化学化工学院
金属腐蚀与防护,2.5,邓英,副教授,015501,,0/1,,材料1602,1-10,30910,科教南402,材料学系
金属腐蚀与防护,2.5,邓英,副教授,015501,,0/1,,材料1602,1-10,10506,科教南402,材料学系
城市轨道交通运营管理,2,"秦进,陈维亚","教授,副教授",015506,,61/2,,"交运1605,交运1606","1-4,7-10",30910,世主405,交通运输系
城市轨道交通运营管理,2,"秦进,陈维亚","教授,副教授",015506,,61/2,,"交运1605,交运1606","1-4,7-10",10910,世主405,交通运输系
马克思主义基本原理概论,3,胡栋材,讲师（高校）,015511,,89/3,,"交运1701,交运1702,交设1706",1-16,10304,A座310,马克思基本原理教研室
